CIFAR-10 Benchmark — Vellum AWD vs Adam vs AdamW
======================================================

AWD |   24   0.2548   91.29%   0.3804   88.07%  0.2753  13.60% 532.8s
AWD |   25   0.2530   91.27%   0.3747   88.16%  0.2467  13.64% 533.9s
AWD |   26   0.2404   91.74%   0.3731   88.02%  0.2695  13.67% 538.2s
AWD |   27   0.2356   91.92%   0.3638   88.43%  0.2291  13.73% 571.1s
AWD |   28   0.2348   91.89%   0.3644   88.28%  0.2754  13.77% 595.8s
AWD |   29   0.2284   92.14%   0.3652   88.53%  0.2358  13.82% 552.9s
AWD |   30   0.2263   92.27%   0.3636   88.54%  0.2282  13.86% 531.0s

Summary:
  Adam           89.18%     0.3489     94.04%
  AdamW          89.25%     0.3552     93.89%
  AWD            88.54%     0.3636     92.27%
